TimestampLSL_s,Marker
961010.5650456905,"{""event"":""EXP_START"",""participant"":1,""block"":1,""lsl_time_s"":961010.565064}"
961010.5753507905,"{""event"":""BLOCK_START"",""participant"":1,""block"":1,""lsl_time_s"":961010.575369}"
961010.68117759,"{""event"":""first_trial_start"",""participant"":1,""block"":1,""trialIndex"":0,""lsl_time_s"":961010.681196}"
961010.68117759,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":0,""stimulus"":""target"",""lsl_t"":961010.681196}"
961012.7856778806,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":1,""stimulus"":""target"",""lsl_t"":961012.785696}"
961014.8898084712,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":2,""stimulus"":""target"",""lsl_t"":961014.889827}"
961016.9989308617,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":3,""stimulus"":""nonTarget"",""lsl_t"":961016.998949}"
961019.1042878523,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":4,""stimulus"":""target"",""lsl_t"":961019.104306}"
961021.2103612429,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":5,""stimulus"":""nonTarget"",""lsl_t"":961021.210379}"
961023.3177382334,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":6,""stimulus"":""target"",""lsl_t"":961023.317756}"
961025.4279594239,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":7,""stimulus"":""target"",""lsl_t"":961025.427978}"
961027.5344377144,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":8,""stimulus"":""target"",""lsl_t"":961027.534456}"
961029.6425274049,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":9,""stimulus"":""target"",""lsl_t"":961029.642546}"
961031.7470043955,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":10,""stimulus"":""target"",""lsl_t"":961031.747023}"
961033.856609686,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":11,""stimulus"":""target"",""lsl_t"":961033.856628}"
961035.9643728766,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":12,""stimulus"":""target"",""lsl_t"":961035.964391}"
961038.0726247671,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":13,""stimulus"":""target"",""lsl_t"":961038.072643}"
961040.1813091576,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":14,""stimulus"":""target"",""lsl_t"":961040.181327}"
961042.2917216482,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":15,""stimulus"":""target"",""lsl_t"":961042.291740}"
961044.3953355388,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":16,""stimulus"":""target"",""lsl_t"":961044.395354}"
961046.5023914292,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":17,""stimulus"":""target"",""lsl_t"":961046.502410}"
961048.6080102198,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":18,""stimulus"":""target"",""lsl_t"":961048.608028}"
961050.7151892104,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":19,""stimulus"":""target"",""lsl_t"":961050.715207}"
961052.8207874009,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":20,""stimulus"":""nonTarget"",""lsl_t"":961052.820806}"
961054.9247375915,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":21,""stimulus"":""target"",""lsl_t"":961054.924756}"
961057.0347586819,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":22,""stimulus"":""target"",""lsl_t"":961057.034777}"
961059.1404779725,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":23,""stimulus"":""nonTarget"",""lsl_t"":961059.140496}"
961061.2455919631,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":24,""stimulus"":""target"",""lsl_t"":961061.245610}"
961063.3521459537,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":25,""stimulus"":""target"",""lsl_t"":961063.352164}"
961065.4565794441,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":26,""stimulus"":""nonTarget"",""lsl_t"":961065.456598}"
961067.5590020347,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":27,""stimulus"":""target"",""lsl_t"":961067.559020}"
961069.6697481252,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":28,""stimulus"":""nonTarget"",""lsl_t"":961069.669766}"
961071.7782087158,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":29,""stimulus"":""target"",""lsl_t"":961071.778227}"
961073.8862086063,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":30,""stimulus"":""target"",""lsl_t"":961073.886227}"
961075.9919698968,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":31,""stimulus"":""target"",""lsl_t"":961075.991988}"
961078.0981820874,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":32,""stimulus"":""target"",""lsl_t"":961078.098200}"
961080.2071809779,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":33,""stimulus"":""nonTarget"",""lsl_t"":961080.207199}"
961082.3154520685,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":34,""stimulus"":""nonTarget"",""lsl_t"":961082.315470}"
961084.424147359,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":35,""stimulus"":""nonTarget"",""lsl_t"":961084.424166}"
961086.5307673495,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":36,""stimulus"":""nonTarget"",""lsl_t"":961086.530786}"
961088.64288534,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":37,""stimulus"":""target"",""lsl_t"":961088.642904}"
961090.7515588306,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":38,""stimulus"":""nonTarget"",""lsl_t"":961090.751577}"
961092.8589096211,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":39,""stimulus"":""target"",""lsl_t"":961092.858928}"
961094.9630887116,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":40,""stimulus"":""target"",""lsl_t"":961094.963107}"
961097.0702858022,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":41,""stimulus"":""target"",""lsl_t"":961097.070304}"
961099.1773597928,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":42,""stimulus"":""target"",""lsl_t"":961099.177378}"
961101.2837767834,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":43,""stimulus"":""target"",""lsl_t"":961101.283795}"
961103.3918960738,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":44,""stimulus"":""nonTarget"",""lsl_t"":961103.391915}"
961105.4977651644,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":45,""stimulus"":""target"",""lsl_t"":961105.497784}"
961107.606668555,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":46,""stimulus"":""target"",""lsl_t"":961107.606687}"
