"TimestampLSL_s","Marker"
"1705.7423790560604","{""event"":""EXP_START"",""participant"":113,""block"":1,""lsl_time_s"":1705.742399}"
"1705.746410856059","{""event"":""BLOCK_START"",""participant"":113,""block"":1,""lsl_time_s"":1705.746430}"
"1705.850218956026","{""event"":""first_trial_start"",""participant"":113,""block"":1,""trialIndex"":0,""lsl_time_s"":1705.850238}"
"1705.850218956026","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":0,""stimulus"":""nonTarget"",""lsl_t"":1705.850238}"
"1707.9597843553554","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":1,""stimulus"":""target"",""lsl_t"":1707.959804}"
"1710.0645876546864","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":2,""stimulus"":""target"",""lsl_t"":1710.064607}"
"1712.1689382540176","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":3,""stimulus"":""target"",""lsl_t"":1712.168958}"
"1714.2737646533485","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":4,""stimulus"":""nonTarget"",""lsl_t"":1714.273784}"
"1716.383566152678","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":5,""stimulus"":""target"",""lsl_t"":1716.383586}"
"1718.4891738520084","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":6,""stimulus"":""target"",""lsl_t"":1718.489193}"
"1720.5992568513377","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":7,""stimulus"":""target"",""lsl_t"":1720.599276}"
"1722.7103316506668","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":8,""stimulus"":""target"",""lsl_t"":1722.710351}"
"1724.8156341499975","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":9,""stimulus"":""target"",""lsl_t"":1724.815654}"
"1726.9194208493288","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":10,""stimulus"":""target"",""lsl_t"":1726.919440}"
"1729.0273630486588","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":11,""stimulus"":""target"",""lsl_t"":1729.027383}"
"1731.1330703479896","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":12,""stimulus"":""target"",""lsl_t"":1731.133090}"
"1733.2374365473206","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":13,""stimulus"":""target"",""lsl_t"":1733.237456}"
"1735.3482817466495","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":14,""stimulus"":""nonTarget"",""lsl_t"":1735.348301}"
"1737.4544768459803","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":15,""stimulus"":""target"",""lsl_t"":1737.454496}"
"1739.5613106453106","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":16,""stimulus"":""nonTarget"",""lsl_t"":1739.561330}"
"1741.6689308446405","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":17,""stimulus"":""target"",""lsl_t"":1741.668950}"
"1743.7761837439707","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":18,""stimulus"":""target"",""lsl_t"":1743.776203}"
"1745.877772343303","{""event"":""trial_onset"",""participant"":113,""block"":1,""trial"":19,""stimulus"":""target"",""lsl_t"":1745.877792}"
