participant,block,beh_hits,beh_false_alarms,beh_misses,beh_hr,beh_far,beh_dprime,beh_n_targets,beh_n_nontargets,behavior_source
P1,1,124.0,3.0,2.0,0.9803149606299213,0.0945945945945946,3.3732792934486246,126.0,36.0,trial_rows
P1,2,125.0,2.0,1.0,0.9881889763779528,0.06756756756756757,3.757376266939383,126.0,36.0,trial_rows
P10,1,126.0,1.0,0.0,0.9960629921259843,0.04054054054054054,4.401872332207557,126.0,36.0,trial_rows
P10,2,51.0,17.0,73.0,0.412,0.47297297297297297,-0.15460461148597066,124.0,36.0,trial_rows
P11,1,124.0,7.0,1.0,0.9880952380952381,0.20270270270270271,3.0921952613458497,125.0,36.0,trial_rows
P11,2,63.0,22.0,60.0,0.5120967741935484,0.625,-0.28831259972889944,123.0,35.0,trial_rows
P2,1,125.0,3.0,1.0,0.9881889763779528,0.0945945945945946,3.576202837291852,126.0,36.0,trial_rows
P2,2,124.0,4.0,2.0,0.9803149606299213,0.12162162162162163,3.2272164156105685,126.0,36.0,trial_rows
P3,1,123.0,7.0,3.0,0.9724409448818898,0.20270270270270271,2.7499502860145304,126.0,36.0,trial_rows
P3,2,113.0,8.0,11.0,0.908,0.22972972972972974,2.068276548270699,124.0,36.0,trial_rows
P4,1,126.0,1.0,0.0,0.9960629921259843,0.04054054054054054,4.401872332207557,126.0,36.0,trial_rows
P4,2,126.0,1.0,0.0,0.9960629921259843,0.04054054054054054,4.401872332207557,126.0,36.0,trial_rows
P5,1,125.0,4.0,1.0,0.9881889763779528,0.125,3.413570738694486,126.0,35.0,trial_rows
P5,2,125.0,4.0,1.0,0.9881889763779528,0.12162162162162163,3.430139959453795,126.0,36.0,trial_rows
P6,1,125.0,1.0,1.0,0.9881889763779528,0.04054054054054054,4.007668900459446,126.0,36.0,trial_rows
P6,2,111.0,20.0,15.0,0.8779527559055118,0.5540540540540541,1.0289028314640398,126.0,36.0,trial_rows
P7,1,125.0,3.0,1.0,0.9881889763779528,0.0945945945945946,3.576202837291852,126.0,36.0,trial_rows
P7,2,122.0,9.0,3.0,0.9722222222222222,0.25675675675675674,2.567882436027092,125.0,36.0,trial_rows
P8,1,125.0,3.0,1.0,0.9881889763779528,0.0945945945945946,3.576202837291852,126.0,36.0,trial_rows
P8,2,125.0,2.0,0.0,0.996031746031746,0.06756756756756757,4.148913941961232,125.0,36.0,trial_rows
P9,1,82.0,21.0,38.0,0.6818181818181818,0.6142857142857143,0.18228234986887326,120.0,34.0,trial_rows
P9,2,96.0,25.0,28.0,0.772,0.7285714285714285,0.1369514136809058,124.0,34.0,trial_rows
