Algorithm,Fold,Train_Size,Test_Size,Accuracy,Balanced_Accuracy,Precision,Recall,F1,TN,FP,FN,TP,Macro_Precision,Macro_Recall,Macro_F1
LR,1,1766,324,0.47530864197530864,0.47530864197530864,1.0,0.47530864197530864,0.6443514644351465,0,0,170,154,0.5,0.2377,0.3222
LinearSVC,1,1766,324,0.47530864197530864,0.47530864197530864,1.0,0.47530864197530864,0.6443514644351465,0,0,170,154,0.5,0.2377,0.3222
SVM_RBF,1,1766,324,0.5895061728395061,0.5895061728395061,1.0,0.5895061728395061,0.7417475728155339,0,0,133,191,0.5,0.2948,0.3709
HGB,1,1766,324,0.7469135802469136,0.7469135802469136,1.0,0.7469135802469136,0.8551236749116607,0,0,82,242,0.5,0.3735,0.4276
RF,1,1766,324,1.0,1.0,1.0,1.0,1.0,0,0,0,324,1.0,1.0,1.0
KNN,1,1766,324,0.7901234567901234,0.7901234567901234,1.0,0.7901234567901234,0.8827586206896552,0,0,68,256,0.5,0.3951,0.4414
XGB,1,1766,324,0.8024691358024691,0.8024691358024691,1.0,0.8024691358024691,0.8904109589041096,0,0,64,260,0.5,0.4012,0.4452
MLP,1,1766,324,0.6049382716049383,0.6049382716049383,1.0,0.6049382716049383,0.7538461538461538,0,0,128,196,0.5,0.3025,0.3769
EEG_VGG16,1,1766,324,0.9259259259259259,0.9259259259259259,1.0,0.9259259259259259,0.9615384615384616,0,0,24,300,0.5,0.463,0.4808
EEG_ResNet,1,1766,324,0.8549382716049383,0.8549382716049383,1.0,0.8549382716049383,0.9217970049916805,0,0,47,277,0.5,0.4275,0.4609
LR,2,1767,323,0.47368421052631576,0.47368421052631576,1.0,0.47368421052631576,0.6428571428571429,0,0,170,153,0.5,0.2368,0.3214
LinearSVC,2,1767,323,0.47368421052631576,0.47368421052631576,1.0,0.47368421052631576,0.6428571428571429,0,0,170,153,0.5,0.2368,0.3214
SVM_RBF,2,1767,323,0.48297213622291024,0.48297213622291024,1.0,0.48297213622291024,0.651356993736952,0,0,167,156,0.5,0.2415,0.3257
HGB,2,1767,323,0.7430340557275542,0.7430340557275542,1.0,0.7430340557275542,0.8525754884547069,0,0,83,240,0.5,0.3715,0.4263
RF,2,1767,323,0.9907120743034056,0.9907120743034056,1.0,0.9907120743034056,0.995334370139969,0,0,3,320,0.5,0.4954,0.4977
KNN,2,1767,323,0.7058823529411765,0.7058823529411765,1.0,0.7058823529411765,0.8275862068965517,0,0,95,228,0.5,0.3529,0.4138
XGB,2,1767,323,0.7523219814241486,0.7523219814241486,1.0,0.7523219814241486,0.8586572438162544,0,0,80,243,0.5,0.3762,0.4293
MLP,2,1767,323,0.6253869969040248,0.6253869969040248,1.0,0.6253869969040248,0.7695238095238095,0,0,121,202,0.5,0.3127,0.3848
EEG_VGG16,2,1767,323,0.9752321981424149,0.9752321981424149,1.0,0.9752321981424149,0.987460815047022,0,0,8,315,0.5,0.4876,0.4937
EEG_ResNet,2,1767,323,1.0,1.0,1.0,1.0,1.0,0,0,0,323,1.0,1.0,1.0
LR,3,1766,324,0.5061728395061729,0.5061728395061729,1.0,0.5061728395061729,0.6721311475409836,0,0,160,164,0.5,0.2531,0.3361
LinearSVC,3,1766,324,0.5061728395061729,0.5061728395061729,1.0,0.5061728395061729,0.6721311475409836,0,0,160,164,0.5,0.2531,0.3361
SVM_RBF,3,1766,324,0.6172839506172839,0.6172839506172839,1.0,0.6172839506172839,0.7633587786259542,0,0,124,200,0.5,0.3086,0.3817
HGB,3,1766,324,0.7314814814814815,0.7314814814814815,1.0,0.7314814814814815,0.8449197860962567,0,0,87,237,0.5,0.3657,0.4225
RF,3,1766,324,0.9907407407407407,0.9907407407407407,1.0,0.9907407407407407,0.9953488372093023,0,0,3,321,0.5,0.4954,0.4977
KNN,3,1766,324,0.7654320987654321,0.7654320987654321,1.0,0.7654320987654321,0.8671328671328671,0,0,76,248,0.5,0.3827,0.4336
XGB,3,1766,324,0.7530864197530864,0.7530864197530864,1.0,0.7530864197530864,0.8591549295774648,0,0,80,244,0.5,0.3765,0.4296
MLP,3,1766,324,0.5833333333333334,0.5833333333333334,1.0,0.5833333333333334,0.7368421052631579,0,0,135,189,0.5,0.2917,0.3684
EEG_VGG16,3,1766,324,1.0,1.0,1.0,1.0,1.0,0,0,0,324,1.0,1.0,1.0
EEG_ResNet,3,1766,324,0.9166666666666666,0.9166666666666666,1.0,0.9166666666666666,0.9565217391304348,0,0,27,297,0.5,0.4583,0.4783
LR,4,1778,312,0.4326923076923077,0.4326923076923077,0.0,0.0,0.0,135,177,0,0,0.5,0.2163,0.302
LinearSVC,4,1778,312,0.4326923076923077,0.4326923076923077,0.0,0.0,0.0,135,177,0,0,0.5,0.2163,0.302
SVM_RBF,4,1778,312,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,72,240,0,0,0.5,0.1154,0.1875
HGB,4,1778,312,0.04807692307692308,0.04807692307692308,0.0,0.0,0.0,15,297,0,0,0.5,0.024,0.0459
RF,4,1778,312,0.0,0.0,0.0,0.0,0.0,0,312,0,0,0.0,0.0,0.0
KNN,4,1778,312,0.035256410256410256,0.035256410256410256,0.0,0.0,0.0,11,301,0,0,0.5,0.0176,0.0341
XGB,4,1778,312,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,13,299,0,0,0.5,0.0208,0.04
MLP,4,1778,312,0.3141025641025641,0.3141025641025641,0.0,0.0,0.0,98,214,0,0,0.5,0.1571,0.239
EEG_VGG16,4,1778,312,0.0,0.0,0.0,0.0,0.0,0,312,0,0,0.0,0.0,0.0
EEG_ResNet,4,1778,312,0.14423076923076922,0.14423076923076922,0.0,0.0,0.0,45,267,0,0,0.5,0.0721,0.1261
LR,5,1928,162,0.49382716049382713,0.49382716049382713,1.0,0.49382716049382713,0.6611570247933884,0,0,82,80,0.5,0.2469,0.3306
LinearSVC,5,1928,162,0.5,0.5,1.0,0.5,0.6666666666666666,0,0,81,81,0.5,0.25,0.3333
SVM_RBF,5,1928,162,0.6296296296296297,0.6296296296296297,1.0,0.6296296296296297,0.7727272727272727,0,0,60,102,0.5,0.3148,0.3864
HGB,5,1928,162,0.7716049382716049,0.7716049382716049,1.0,0.7716049382716049,0.8710801393728222,0,0,37,125,0.5,0.3858,0.4355
RF,5,1928,162,0.9938271604938271,0.9938271604938271,1.0,0.9938271604938271,0.9969040247678018,0,0,1,161,0.5,0.4969,0.4985
KNN,5,1928,162,0.7839506172839507,0.7839506172839507,1.0,0.7839506172839507,0.8788927335640139,0,0,35,127,0.5,0.392,0.4394
XGB,5,1928,162,0.8395061728395061,0.8395061728395061,1.0,0.8395061728395061,0.912751677852349,0,0,26,136,0.5,0.4198,0.4564
MLP,5,1928,162,0.5617283950617284,0.5617283950617284,1.0,0.5617283950617284,0.7193675889328063,0,0,71,91,0.5,0.2809,0.3597
EEG_VGG16,5,1928,162,1.0,1.0,1.0,1.0,1.0,0,0,0,162,1.0,1.0,1.0
EEG_ResNet,5,1928,162,1.0,1.0,1.0,1.0,1.0,0,0,0,162,1.0,1.0,1.0
LR,6,1928,162,0.5802469135802469,0.5802469135802469,1.0,0.5802469135802469,0.734375,0,0,68,94,0.5,0.2901,0.3672
LinearSVC,6,1928,162,0.5802469135802469,0.5802469135802469,1.0,0.5802469135802469,0.734375,0,0,68,94,0.5,0.2901,0.3672
SVM_RBF,6,1928,162,0.6481481481481481,0.6481481481481481,1.0,0.6481481481481481,0.7865168539325843,0,0,57,105,0.5,0.3241,0.3933
HGB,6,1928,162,0.7962962962962963,0.7962962962962963,1.0,0.7962962962962963,0.8865979381443299,0,0,33,129,0.5,0.3981,0.4433
RF,6,1928,162,1.0,1.0,1.0,1.0,1.0,0,0,0,162,1.0,1.0,1.0
KNN,6,1928,162,0.808641975308642,0.808641975308642,1.0,0.808641975308642,0.89419795221843,0,0,31,131,0.5,0.4043,0.4471
XGB,6,1928,162,0.845679012345679,0.845679012345679,1.0,0.845679012345679,0.9163879598662207,0,0,25,137,0.5,0.4228,0.4582
MLP,6,1928,162,0.6049382716049383,0.6049382716049383,1.0,0.6049382716049383,0.7538461538461538,0,0,64,98,0.5,0.3025,0.3769
