Algorithm,Accuracy,Accuracy,Balanced_Accuracy,Balanced_Accuracy,Precision,Precision,Recall,Recall,F1,F1,Macro_Precision,Macro_Precision,Macro_Recall,Macro_Recall,Macro_F1,Macro_F1
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
EEG_ResNet,0.669284495830871,0.3617665823395134,0.6690921992325978,0.3618669938134622,0.687888198757764,0.45788236836708207,0.6959876543209876,0.4359053792788999,0.6792922712337188,0.43215748944182536,0.65645,0.22912558627467663,0.4909875,0.35572268668364204,0.4963,0.3409934854844842
EEG_VGG16,0.6668577762489011,0.4401266029066234,0.6666786777852085,0.4401951287354789,0.6889067524115755,0.45742143183232364,0.7245274815579253,0.44830328611266107,0.6970178032511504,0.4434724586519488,0.516325,0.3807744579894282,0.4907625,0.37854156947609935,0.4800125,0.3798913996601059
HGB,0.5552418923597329,0.312922540516608,0.555087951217211,0.3129443275463644,0.6887931034482758,0.457471986368055,0.5878638248671788,0.3673193412491167,0.6206455354521181,0.38988853707163573,0.5053875,0.015238151134570112,0.3097625,0.17707509252533835,0.338375,0.17022083765341003
KNN,0.5605948809460807,0.3184695702089328,0.5604373045669401,0.3185137729064991,0.6864334470989761,0.4585712844832228,0.5928649237472767,0.3693903471293437,0.6229419266835688,0.3935765761456709,0.4932125,0.01919794910921477,0.310325,0.1729267784765729,0.336225,0.16814901342049474
LR,0.48840375767378474,0.04541705232266912,0.48838279200300083,0.04541015598413022,0.6878491620111732,0.45790038547961237,0.3855994152046784,0.2408925155428733,0.4853413771454148,0.30492036503536235,0.500175,0.0004949747468305597,0.275525,0.09401201670911162,0.3483625,0.06442439505786164
LinearSVC,0.4891753626120564,0.04557451831303194,0.48915439694127244,0.04556805153591209,0.6878491620111732,0.45790038547961237,0.38637102014295,0.24129824884501833,0.48603008237957457,0.3053800740145638,0.500175,0.0004949747468305597,0.2759125,0.09388347545913343,0.3487,0.06432504511130503
MLP,0.5307469775284532,0.10555841971604023,0.5306972563941312,0.10557423059746911,0.687807881773399,0.4579194662486658,0.4512443622673241,0.27935838811742736,0.5365412401251403,0.3377494298889736,0.50015,0.00042426406871192383,0.29669999999999996,0.09786814745214238,0.363625,0.07166576688250216
RF,0.684603495394259,0.4555788893740032,0.6844099969422467,0.4556680657724127,0.6876934984520124,0.457972488471339,0.7469099969422467,0.46101963178080385,0.7069535586538094,0.45091017040961634,0.46885,0.38809756873387247,0.49846250000000003,0.3779707129149408,0.4784875,0.3824482278221272
SVM_RBF,0.5124894131723015,0.14185329208710423,0.5124205143101038,0.14186293620878257,0.6872146118721462,0.45819688927375796,0.4550474429537897,0.28648514762932015,0.5359857436910732,0.3384904915991029,0.4992625,0.002085965004500321,0.2871375,0.10981371157555873,0.3516125,0.08607550568292602
XGB,0.5787461658640064,0.334801230847377,0.5785862228716387,0.3348403015924821,0.688135593220339,0.4577687880436275,0.6141019760730803,0.3828471689231699,0.6361801930791833,0.4015253902838052,0.50255,0.007212489168102764,0.3209375,0.18287761666910313,0.343075,0.17571553919413535
